R8 VC Data,พ.ย.-25,,,,
Pier,AxisAngle,Len.,Thick.,CG_X,CG_Y
C_FG10,90.00,4.38,0.11,-71.70,11.84
C_FG11,90.00,4.38,0.11,-66.10,11.84
C_FG12,90.00,4.38,0.11,-60.50,11.84
C_FG13,90.00,4.38,0.11,-54.90,11.84
C_FG14,90.00,4.38,0.13,-50.85,11.80
C_FG15,90.00,4.73,0.12,-51.00,1.40
C_FG16,90.00,4.73,0.10,-56.90,1.46
C_FG17,90.00,5.70,0.73,-67.85,0.37
C_FG18,90.00,5.48,0.10,-71.90,0.96
C_FG19,90.00,4.78,0.10,-77.50,1.46
C_FG20,90.00,4.78,0.10,-83.10,1.46
C_FG21,90.00,4.78,0.10,-88.70,1.46
C_FG22,90.00,4.78,0.10,-94.30,1.46
C_FG23,90.00,4.78,0.10,-99.90,1.46
C_FG24,90.00,5.90,0.63,-107.20,0.94
C_FG25,90.00,4.78,0.10,-114.50,1.46
C_FG26,90.00,4.78,0.10,-120.40,1.46
B_FG01,0.00,2.83,0.15,-41.20,10.10
B_FG02,0.00,4.63,0.72,-43.89,14.88
B_FG03,0.00,4.14,0.12,-41.67,22.60
B_FG04,0.00,4.14,0.12,-41.67,28.20
B_FG05,0.00,4.14,0.14,-41.49,32.25
B_FG06,0.00,4.18,0.12,-30.89,33.30
B_FG07,0.00,4.18,0.12,-30.89,29.40
B_FG08,0.00,4.18,0.12,-30.89,23.80
B_FG09,0.00,4.18,0.12,-30.89,18.20
B_FG10,89.99,5.73,0.78,-29.90,12.64
B_FG11,90.00,4.23,0.12,-22.55,11.81
B_FG12,90.00,4.23,0.12,-16.95,11.81
B_FG13,90.00,4.23,0.12,-11.35,11.81
B_FG14,90.00,4.23,0.12,-5.75,11.81
B_FG15,90.00,4.23,0.12,-0.15,11.81
B_FG16,90.00,4.23,0.13,3.75,11.81
B_FG17,90.00,4.51,0.12,3.75,1.47
B_FG18,90.00,4.51,0.11,-2.15,1.50
B_FG19,90.00,5.90,0.63,-9.45,0.81
B_FG20,90.00,4.51,0.11,-16.75,1.50
B_FG21,90.00,4.51,0.11,-22.35,1.50
B_FG22,90.00,4.51,0.11,-27.95,1.50
B_FG23,90.00,4.51,0.11,-33.55,1.50
B_FG24,90.00,4.51,0.11,-39.15,1.50
B_FG25,90.00,4.51,0.12,-45.05,1.43
A_FG01,90.00,4.38,0.13,10.00,12.93
A_FG02,90.00,4.38,0.11,14.05,12.96
A_FG03,90.00,4.38,0.11,19.65,12.96
A_FG04,90.00,4.38,0.11,25.25,12.96
A_FG05,90.00,4.38,0.11,29.20,12.96
A_FG06,90.00,4.38,0.11,34.80,12.96
A_FG07,90.00,5.69,0.78,41.66,14.39
A_FG08,0.00,4.43,0.11,42.52,22.45
A_FG09,0.00,4.43,0.11,42.52,28.05
A_FG10,0.00,4.43,0.21,42.48,30.85
A_FG11,0.00,4.43,0.21,42.48,36.45
A_FG12,0.00,4.43,0.22,42.59,40.58
A_FG13,0.00,3.00,0.28,53.16,41.60
A_FG14,0.00,0.55,0.55,60.43,41.60
A_FG15,0.00,0.30,0.24,70.65,41.60
A_FG16,0.00,0.30,0.24,70.65,34.90
A_FG17,0.00,0.55,0.55,60.43,34.90
A_FG18,0.00,4.23,0.22,53.39,35.00
A_FG19,0.00,4.23,0.12,53.34,29.40
A_FG20,0.00,4.23,0.12,53.34,23.80
A_FG21,0.00,0.55,0.55,60.43,23.80
A_FG22,0.00,4.75,0.70,55.56,16.15
A_FG23,0.00,0.55,0.55,60.43,14.40
A_FG24,0.00,4.85,0.10,53.43,11.25
A_FG25,0.00,0.55,0.55,60.43,7.50
A_FG26,0.00,0.55,0.55,60.43,0.00
A_FG27,90.00,4.78,0.10,56.73,2.58
A_FG28,90.00,4.78,0.10,50.58,2.58
A_FG29,90.00,4.78,0.10,47.50,2.58
A_FG30,90.00,4.78,0.10,41.90,2.58
A_FG31,90.00,4.78,0.10,36.25,2.58
A_FG32,90.00,4.78,0.10,30.65,2.58
A_FG33,90.00,6.03,0.76,23.35,1.38
A_FG34,90.00,4.78,0.10,16.05,2.58
A_FG35,90.00,4.78,0.12,10.15,2.53
C_FG17A,90.00,4.63,0.25,-62.68,-0.16
C_SW1P4,0.00,3.10,0.25,-107.20,-2.63
,,,,,
,,,,,
,,,,,
